dataset,method,f1,auc,anice,snice,ece,mce,brier
MNIST,vpu,0.9634230503795721,0.9951637806745189,0.6258197821224499,0.47870685566512294,0.0716498807013035,0.37363765853466374,0.03495981466016053
MNIST,pn,0.9856100526955817,0.9989214837618031,0.20346371335452373,0.04231460293554519,0.005059880010643994,0.10026639938354492,0.010613424162881285
MNIST,pn_naive,0.9683500347256673,0.991843173328686,3.0664466739864973,7.1962887322995694,0.4488327255727723,0.8952632404152188,0.4127113017295096
MNIST,nnpu,0.9723446893787575,0.996021848625723,0.45960218096566235,0.24315506582966745,0.018455196084617636,0.37305210696326363,0.023490415541234363
MNIST,pudra,0.9730490748189863,0.9959659963918497,0.17699040925154683,0.04266766797396527,0.0080531350184232,0.14044060212809867,0.021529721509763764
MNIST,vpudra_naive_logmse,0.9702075200328745,0.9966371834086538,0.6856745681633916,0.46497452432898106,0.18011027031913396,0.34637692679909515,0.06129649423459
MNIST,distpu,0.9608729846637829,0.9962875468242562,0.7338158556381414,0.5719198430388215,0.09130593209043145,0.3682735998823185,0.036667049849224836
MNIST,vpudra_fixed,0.9618456078083407,0.9947183631102557,0.6168655670776574,0.4490251328383424,0.08184329209700227,0.3168772739100169,0.03821492047941996
MNIST,pudra_naive,0.9696598222494637,0.9937551921372858,0.5762355295105651,0.399049026232432,0.1420021079145372,0.3355533264162466,0.060291549249262354
FashionMNIST,vpu,0.9821232397882752,0.9963345600000001,0.22861839008366633,0.06714782055542028,0.022673258384689712,0.162298278676139,0.014968478561049318
FashionMNIST,pn,0.990233207095874,0.99895208,0.28185057837673744,0.09654671780071425,0.0034025064779212508,0.24828230142593383,0.007816583472314545
FashionMNIST,pn_naive,0.9706974018362962,0.99235344,3.1546177442533043,7.736856641026187,0.4512436860205606,0.8911230122100791,0.41258732403376924
FashionMNIST,nnpu,0.9704674359475846,0.9946880400000001,1.0838092549096325,1.174355564869989,0.025782821349275776,0.6553385191493564,0.02624825370528673
FashionMNIST,pudra,0.9826762246117084,0.9972722399999999,0.19025406612286455,0.04811140146845478,0.003501385252829628,0.1560314496358236,0.013439015281014124
FashionMNIST,vpudra_naive_logmse,0.9806826143529176,0.9954166400000001,0.7991094795113707,0.5701078018307124,0.2098250497967005,0.33658928466008875,0.0701790823453462
FashionMNIST,distpu,0.9478927203065134,0.98838152,0.7190083823899214,0.5356994784407811,0.059222549937665445,0.3170678895452748,0.04356053814416631
FashionMNIST,vpudra_fixed,0.9800637958532695,0.9965823999999999,0.34757332243386674,0.12226018446092608,0.05777001260444523,0.17531542516336207,0.020487626455144153
FashionMNIST,pudra_naive,0.9811320754716981,0.99390788,0.6391229154284076,0.4986189520347937,0.17764955688035114,0.3938277346747262,0.07564107573667013
CIFAR10,vpu,0.8760589078587254,0.9626427916666666,0.23241267217438807,0.05878695726169903,0.04496448667272927,0.1318849878651755,0.07225911036480713
CIFAR10,pn,0.9537920642893019,0.9931731249999999,0.4624869673447001,0.20290186860409012,0.024541769515140907,0.2883499910434087,0.030897909944651747
CIFAR10,pn_naive,0.8817883610739886,0.9655203958333333,3.0429793033208523,6.738222479082945,0.372989077860117,0.8818056222913567,0.35149421784571555
CIFAR10,nnpu,0.7000364475762362,0.8119257708333333,3.2961962789466703,7.869318297919437,0.39999188513811534,0.39999188513811534,0.3999880157969706
CIFAR10,pudra,0.8643353174603174,0.9590389166666666,0.3062327758242416,0.0967490466331725,0.0455867410503328,0.16116656681125086,0.0816745314171251
CIFAR10,vpudra_naive_logmse,0.873894955798232,0.958214625,0.5229203321388218,0.2776902572758317,0.17629333461225033,0.2877746635161982,0.10721913742050519
CIFAR10,distpu,0.8295298950251027,0.9275086250000001,1.1161886274110315,1.3308546495356177,0.14825167915972126,0.8206205368041992,0.1483065622684522
CIFAR10,vpudra_fixed,0.8792838874680307,0.9638789166666667,0.19864153698198908,0.048784585199626786,0.08994622618705035,0.15062928651706634,0.08099235231312203
CIFAR10,pudra_naive,0.876594700686948,0.9605931041666667,0.366951198484464,0.1433873316177095,0.0874880866708234,0.22378662761889,0.090309822133588
AlzheimerMRI,vpu,0.7001223990208079,0.7689456503679668,0.4647083152915281,0.2692806478276961,0.14866605070419608,0.3815455436706543,0.2222373521546622
AlzheimerMRI,pn,0.9473684210526315,0.9922277387386507,0.7405012382964559,0.5672818340202905,0.03214165921381211,0.5461234450340271,0.03945734552917072
AlzheimerMRI,pn_naive,0.700077101002313,0.7597672475297843,3.3400789399536706,8.663582503843397,0.43287296494236216,0.8130048817166915,0.43267514683400254
AlzheimerMRI,nnpu,0.7042431918936035,0.7743576461849706,0.9038324902923461,0.8706404111889793,0.26688112830743194,0.5060912280712487,0.2808279070585683
AlzheimerMRI,pudra,0.6554267650158061,0.7953263812195193,1.4148665463254326,2.25239919844317,0.4476311476435513,0.7360495704191703,0.42700691981958644
AlzheimerMRI,vpudra_naive_logmse,0.6620021528525296,0.7521647983268014,0.6962986945716072,0.4584371789144934,0.16594304069876667,0.3696015576521556,0.24791878712534182
AlzheimerMRI,distpu,0.7094682230869002,0.7615765400365523,0.8042012607873359,0.7035616138779325,0.2312348249834031,0.46571400291041326,0.26389515262161267
AlzheimerMRI,vpudra_fixed,0.662696264212236,0.752702332900048,0.9634486610781008,0.9344033200187098,0.31872183915693314,0.4398034721050622,0.312768013121793
AlzheimerMRI,pudra_naive,0.7236749116607774,0.7910505380232411,0.7415222806987855,0.6409872477186831,0.10550050555320925,0.22531338256338368,0.2046990762861398
Connect4,vpu,0.8676059310854308,0.8817443124810758,0.3323447370679469,0.09207208768472824,0.07583194986689348,0.15001712048926003,0.13694625934775664
Connect4,pn,0.9301123595505618,0.968659485200416,0.10990394272075076,0.01424020847062453,0.01433558762004591,0.06845450770194839,0.06668895374087691
Connect4,pn_naive,0.8440387275242047,0.8558459748007066,2.7436540626817716,5.3875591224227355,0.59559975699188,0.841212993410672,0.5623489608650987
Connect4,nnpu,0.7469986168741356,0.6816300635418413,0.41188590974295153,0.11892387208810565,0.341607101433654,0.341607101433654,0.3416276212508967
Connect4,pudra,0.8647768002606713,0.8811453577906905,0.1566770508636608,0.02878418511624785,0.04453035922640522,0.11647311449050901,0.13284217201663004
Connect4,vpudra_naive_logmse,0.8215463979365365,0.8706486025750084,0.6382028223246698,0.40448556480978387,0.1889589541253141,0.30382073715648683,0.182233352593181
Connect4,distpu,0.7391424619640388,0.6681947949283893,0.6069463771702652,0.2587974639188185,0.3410764412812187,0.3410764412812187,0.34123792604950465
Connect4,vpudra_fixed,0.8639536687522623,0.8790013274256016,0.4494082956095876,0.15572910670997508,0.10296379752091009,0.173854814459946,0.1442099111054661
Connect4,pudra_naive,0.8489938375961171,0.8564234773778214,0.6969625423980319,0.5226052167587901,0.18928736556032444,0.33164541979949647,0.19150905160766962
Mushrooms,vpu,0.9824561403508771,0.9997102926499273,1.1184086111194114,1.329003107768799,0.07499884300048534,0.6360577642917633,0.01834413344300251
Mushrooms,pn,0.9942196531791907,0.99971939340438,0.9837520146260277,1.117120969568443,0.007257634474680974,0.7158962488174438,0.005038688557471987
Mushrooms,pn_naive,0.9669781931464174,0.9988335866376656,3.395068184880202,8.827966837939096,0.439884662718727,0.9107796773314476,0.40674319741956816
Mushrooms,nnpu,0.9732484076433121,0.9923705341839504,0.3286492134388483,0.1383858657811799,0.016661940575219143,0.42378848791122437,0.024296453039888814
Mushrooms,pudra,0.9864253393665159,0.9998574215135768,1.2223194978771992,1.4948554902265818,0.019814000801828047,0.8313513994216919,0.009081620525921501
Mushrooms,vpudra_naive_logmse,0.9811320754716981,0.9996041171813144,1.0198555793823325,1.072294279706166,0.19593478847237733,0.49159377813339233,0.0613085871024642
Mushrooms,distpu,0.9715729627289956,0.9953965350394214,1.031838436305192,1.2092502082872794,0.019498630016469037,0.7674508690834045,0.024521777940665533
Mushrooms,vpudra_fixed,0.9831168831168832,0.9996845071789785,0.985078356219844,1.0899247097949443,0.08708597654104233,0.6354637145996094,0.019431963738258496
Mushrooms,pudra_naive,0.9804941482444733,0.9998013001944528,1.5404090672461748,2.0668902756554397,0.15911580575085604,0.8436854034662247,0.05742204738745324
Spambase,vpu,0.8415147265077139,0.9357998360930913,0.5092550971032136,0.22660840558813544,0.13691344455968543,0.2028671753021979,0.11243579769726895
Spambase,pn,0.9126760563380282,0.9762878047335525,0.20834559415521917,0.04906576388167325,0.025613065423741206,0.2953361928462982,0.05212198411339383
Spambase,pn_naive,0.7282463186077643,0.8370212387807695,2.893243938050619,6.214605106901522,0.3543467695514361,0.8465855121612549,0.34338594656168264
Spambase,nnpu,0.005494505494505495,0.9252248783040572,1.4832536977374018,1.8610238410772508,0.2177980360913775,0.5585221005421058,0.18587670576084345
Spambase,pudra,0.021798365122615803,0.9177750130829311,1.204188816697776,1.438276556117726,0.2039923511837871,0.5226823091506958,0.17751912116067364
Spambase,vpudra_naive_logmse,0.8551336146272855,0.9357159078566704,0.5864869501217657,0.31059172601738405,0.18978921777844818,0.2670152977455494,0.12718352444426878
Spambase,distpu,0.851010101010101,0.9423462385339219,0.6378293790239142,0.420857360969903,0.09795088303173274,0.46410336097081506,0.10109753007723479
Spambase,vpudra_fixed,0.8523316062176166,0.9377943659468587,0.48617806736334856,0.26212054949331215,0.1310188839299024,0.32841321101059784,0.11466542158375295
Spambase,pudra_naive,0.7764390896921017,0.9025494436051622,1.2784500834736463,1.7429988632600892,0.02755536998133708,0.3889257311820984,0.23239403716671564
IMDB,vpu,0.7848811457256755,0.8575872256,0.4312427201420222,0.1760048909123371,0.1109172802075744,0.18658940761270348,0.1683392861622376
IMDB,pn,0.8063276651406148,0.894922064,0.0985906904599507,0.01007198064053973,0.020286085294634104,0.04663419723510742,0.13202302318855433
IMDB,pn_naive,0.7772611838249658,0.8539511263999999,2.91291907244576,6.526671088767404,0.45359772447705266,0.8233293540107343,0.4378906521116065
IMDB,nnpu,0.7588352612684484,0.8421894944,0.8189506803112581,0.66307035524261,0.2011380157748982,0.333424062758631,0.215643768695682
