dataset,seed,c,true_prior,bin_range,bin_center,auto_f1,optimal_f1,center_f1,upper_f1,lower_f1
20News,42,0.1,0.5880662609871535,"[0.50, 0.75)",0.625,0.8672433245581046,0.8765869838728125,0.8762278978388998,0.8762278978388998,0.8683747802059784
20News,42,0.5,0.6606558518415373,"[0.50, 0.75)",0.625,0.891093960553718,0.904570047196961,0.8928225024248303,0.8928225024248303,0.9003533568904594
20News,42,0.9,0.7114781270348665,"[0.50, 0.75)",0.625,0.9107423189055842,0.9168707007112044,0.9133929582248388,0.9133929582248388,0.9168707007112044
20News,456,0.1,0.5880662609871535,"[0.50, 0.75)",0.625,0.6530170292351609,0.6926493247530137,0.6564423170850835,0.6564423170850835,0.6858500045674614
20News,456,0.5,0.6606558518415373,"[0.50, 0.75)",0.625,0.6030335861321777,0.7218734091294756,0.62019735460844,0.62019735460844,0.6031746031746031
20News,456,0.9,0.7114781270348665,"[0.50, 0.75)",0.625,0.6237386871944243,0.7219959266802444,0.7216092344253947,0.7216092344253947,0.7218734091294756
20News,789,0.1,0.5880662609871535,"[0.50, 0.75)",0.625,0.6186927826272088,0.6921055016767879,0.6208272097417594,0.6208272097417594,0.5683085501858736
20News,789,0.5,0.6606558518415373,"[0.50, 0.75)",0.625,0.6976203256396493,0.7218734091294756,0.6197774511862272,0.6197774511862272,0.6222082415854042
20News,789,0.9,0.7114781270348665,"[0.50, 0.75)",0.625,0.6316446478726724,0.7218734091294756,0.6264301459011231,0.6264301459011231,0.6981489841986456
FashionMNIST,42,0.1,0.5238095238095238,"[0.50, 0.75)",0.625,0.9818508177104108,0.9818508177104108,0.9796844181459566,0.9796844181459566,0.9816
FashionMNIST,42,0.5,0.6,"[0.50, 0.75)",0.625,0.9864891714683092,0.9874025194961008,0.983084577114428,0.983084577114428,0.9874025194961008
FashionMNIST,42,0.9,0.6551724137931034,"[0.50, 0.75)",0.625,0.9898264512268105,0.990126658023337,0.9880999603332012,0.9880999603332012,0.990126658023337
FashionMNIST,456,0.1,0.5238095238095238,"[0.50, 0.75)",0.625,0.9783697176046464,0.9837891596220786,0.979454094292804,0.979454094292804,0.9795345104333868
FashionMNIST,456,0.5,0.6,"[0.50, 0.75)",0.625,0.9879590008956116,0.9879590008956116,0.98540073492899,0.98540073492899,0.9861362266425556
FashionMNIST,456,0.9,0.6551724137931034,"[0.50, 0.75)",0.625,0.9879613968759328,0.9902156549520766,0.9902156549520766,0.9902156549520766,0.9867549668874172
FashionMNIST,789,0.1,0.5238095238095238,"[0.50, 0.75)",0.625,0.9823300389338124,0.9823300389338124,0.9805175342192028,0.9805175342192028,0.981139606825666
FashionMNIST,789,0.5,0.6,"[0.50, 0.75)",0.625,0.9873190214677984,0.9873190214677984,0.9826578138935684,0.9826578138935684,0.9872051179528188
FashionMNIST,789,0.9,0.6551724137931034,"[0.50, 0.75)",0.625,0.985677342351303,0.987874536526706,0.9816631975418773,0.9816631975418773,0.987874536526706
IMDB,42,0.1,0.5238003617193212,"[0.50, 0.75)",0.625,0.7739775173403493,0.782529638519165,0.782529638519165,0.782529638519165,0.7653915613199803
IMDB,42,0.5,0.5999935352490545,"[0.50, 0.75)",0.625,0.8019817190260389,0.8046124763705104,0.8046124763705104,0.8046124763705104,0.804555702402239
IMDB,42,0.9,0.6551676094407446,"[0.50, 0.75)",0.625,0.8107529348782073,0.8109256222984051,0.8109256222984051,0.8109256222984051,0.8090143053106016
IMDB,456,0.1,0.5238003617193212,"[0.50, 0.75)",0.625,0.7913553113553113,0.7946678450434527,0.7946678450434527,0.7946678450434527,0.789923526765632
IMDB,456,0.5,0.5999935352490545,"[0.50, 0.75)",0.625,0.805421780332453,0.805421780332453,0.7982154038822793,0.7982154038822793,0.7949633075349881
IMDB,456,0.9,0.6551676094407446,"[0.50, 0.75)",0.625,0.8108461538461539,0.8113038277511961,0.8113038277511961,0.8113038277511961,0.8074408468244084
IMDB,789,0.1,0.5238003617193212,"[0.50, 0.75)",0.625,0.7853816346119663,0.7883956556600336,0.7872740830167241,0.7872740830167241,0.7883956556600336
IMDB,789,0.5,0.5999935352490545,"[0.50, 0.75)",0.625,0.780407895814563,0.802858439201452,0.7967295203818168,0.7967295203818168,0.7975823560020814
IMDB,789,0.9,0.6551676094407446,"[0.50, 0.75)",0.625,0.8100200856482359,0.8105041701104516,0.8105041701104516,0.8105041701104516,0.8035351725785262
MNIST,42,0.1,0.5153484491086185,"[0.50, 0.75)",0.625,0.9708757432228156,0.9730107956817272,0.9727610815157304,0.9727610815157304,0.9721324717285944
MNIST,42,0.5,0.5918403200086488,"[0.50, 0.75)",0.625,0.9786155873112394,0.9847828277738588,0.9768049000903704,0.9768049000903704,0.9847828277738588
MNIST,42,0.9,0.6474783197357518,"[0.50, 0.75)",0.625,0.9835966589513938,0.9890997174000808,0.9843260188087776,0.9843260188087776,0.9890997174000808
MNIST,456,0.1,0.5153484491086185,"[0.50, 0.75)",0.625,0.9737299396913012,0.9751898734177216,0.9720568949863816,0.9720568949863816,0.9737299396913012
MNIST,456,0.5,0.5918403200086488,"[0.50, 0.75)",0.625,0.9826961770623742,0.9826961770623742,0.9814478725549506,0.9814478725549506,0.9775338009555758
MNIST,456,0.9,0.6474783197357518,"[0.50, 0.75)",0.625,0.9854339469957516,0.9856536674075572,0.9856536674075572,0.9856536674075572,0.9819728580109378
MNIST,789,0.1,0.5153484491086185,"[0.50, 0.75)",0.625,0.9704201343627796,0.9747306956609282,0.9747306956609282,0.9747306956609282,0.9718482252141984
MNIST,789,0.5,0.5918403200086488,"[0.50, 0.75)",0.625,0.9855749695245836,0.9868889114747432,0.9868889114747432,0.9868889114747432,0.9856517757199552
MNIST,789,0.9,0.6474783197357518,"[0.50, 0.75)",0.625,0.9887844801454988,0.989774222942189,0.989774222942189,0.989774222942189,0.9880178716490658
Mushrooms,42,0.1,0.5059311981020166,"[0.50, 0.75)",0.625,0.986425339366516,0.9910141206675224,0.9910141206675224,0.9910141206675224,0.983797796500324
Mushrooms,42,0.5,0.5827175954915467,"[0.50, 0.75)",0.625,0.9961538461538462,0.9993618379068284,0.9955156950672646,0.9955156950672646,0.9942196531791908
Mushrooms,42,0.9,0.6388075880758808,"[0.50, 0.75)",0.625,0.9993618379068284,1.0,1.0,1.0,0.9955099422706865
Mushrooms,456,0.1,0.5059311981020166,"[0.50, 0.75)",0.625,0.985209003215434,0.9891788669637174,0.9891788669637174,0.9891788669637174,0.9845559845559846
Mushrooms,456,0.5,0.5827175954915467,"[0.50, 0.75)",0.625,0.9987228607918264,0.9987228607918264,0.9967969250480462,0.9967969250480462,0.9832041343669252
Mushrooms,456,0.9,0.6388075880758808,"[0.50, 0.75)",0.625,0.9936143039591316,0.9993610223642172,0.994263862332696,0.994263862332696,0.9993610223642172
Mushrooms,789,0.1,0.5059311981020166,"[0.50, 0.75)",0.625,0.9638395792241946,0.9980806142034548,0.9742268041237112,0.9742268041237112,0.9617918313570488
Mushrooms,789,0.5,0.5827175954915467,"[0.50, 0.75)",0.625,0.9968010236724248,0.9993618379068284,0.9936386768447836,0.9936386768447836,0.997439180537772
Mushrooms,789,0.9,0.6388075880758808,"[0.50, 0.75)",0.625,0.9911054637865312,0.9993618379068284,0.9993618379068284,0.9993618379068284,0.9883720930232558
Spambase,42,0.1,0.4167987321711568,"[0.25, 0.50)",0.375,0.0217983651226158,0.8555240793201133,0.7824726134585289,0.8555240793201133,0.6544789762340036
Spambase,42,0.5,0.4935779816513762,"[0.25, 0.50)",0.375,0.8841544607190412,0.89280868385346,0.8043818466353677,0.8829787234042553,0.6544789762340036
Spambase,42,0.9,0.5524929063640048,"[0.50, 0.75)",0.625,0.8835978835978836,0.9041835357624832,0.8956406869220608,0.8956406869220608,0.9041835357624832
Spambase,456,0.1,0.4167987321711568,"[0.25, 0.50)",0.375,0.7902439024390244,0.8791500664010624,0.8083067092651757,0.8596237337192475,0.8083067092651757
Spambase,456,0.5,0.4935779816513762,"[0.25, 0.50)",0.375,0.8934993084370678,0.9027237354085604,0.8291925465838509,0.8968363136176066,0.8291925465838509
Spambase,456,0.9,0.5524929063640048,"[0.50, 0.75)",0.625,0.8695652173913043,0.8935064935064935,0.8935064935064935,0.8935064935064935,0.8910344827586207
Spambase,789,0.1,0.4167987321711568,"[0.25, 0.50)",0.375,0.7951807228915663,0.8575380359612724,0.7969465648854962,0.8575380359612724,0.6325411334552102
Spambase,789,0.5,0.4935779816513762,"[0.25, 0.50)",0.375,0.9054593874833556,0.9064171122994652,0.8914285714285715,0.9042553191489362,0.6617915904936015
Spambase,789,0.9,0.5524929063640048,"[0.50, 0.75)",0.625,0.8952879581151832,0.9130434782608696,0.90520694259012,0.90520694259012,0.9130434782608696
