dataset,seed,c,true_prior,optimal_by_f1,optimal_by_ap,optimal_by_auc,optimal_by_max_f1,agreement
20News,42,0.1,0.5880662609871535,0.9,0.5,0.7,0.3,False
20News,42,0.5,0.6606558518415373,0.9,0.2,0.2,0.2,False
20News,42,0.9,0.7114781270348665,0.5,0.3,0.3,0.3,False
20News,456,0.1,0.5880662609871535,0.9,0.2,0.3,0.9,False
20News,456,0.5,0.6606558518415373,0.1,0.1,0.1,0.5,False
20News,456,0.9,0.7114781270348665,0.9,0.2,0.2,0.9,False
20News,789,0.1,0.5880662609871535,0.9,auto,auto,auto,False
20News,789,0.5,0.6606558518415373,0.1,0.1,0.1,0.7,False
20News,789,0.9,0.7114781270348665,0.1,0.9,0.9,0.7,False
FashionMNIST,42,0.1,0.5238095238095238,auto,0.5,0.5,0.9,False
FashionMNIST,42,0.5,0.6,0.5,0.9,0.9,auto,False
FashionMNIST,42,0.9,0.6551724137931034,0.5,auto,auto,0.5,False
FashionMNIST,456,0.1,0.5238095238095238,0.9,0.9,0.9,0.9,True
FashionMNIST,456,0.5,0.6,auto,auto,auto,0.5,False
FashionMNIST,456,0.9,0.6551724137931034,0.7,0.7,0.7,0.7,True
FashionMNIST,789,0.1,0.5238095238095238,auto,0.9,auto,auto,False
FashionMNIST,789,0.5,0.6,auto,auto,auto,0.5,False
FashionMNIST,789,0.9,0.6551724137931034,0.5,auto,0.5,0.5,False
IMDB,42,0.1,0.5238003617193212,0.7,0.2,0.2,auto,False
IMDB,42,0.5,0.5999935352490545,0.7,0.1,0.1,0.1,False
IMDB,42,0.9,0.6551676094407446,0.7,0.1,0.1,0.1,False
IMDB,456,0.1,0.5238003617193212,0.7,0.7,0.7,0.7,True
IMDB,456,0.5,0.5999935352490545,auto,0.1,0.1,0.1,False
IMDB,456,0.9,0.6551676094407446,0.7,auto,auto,auto,False
IMDB,789,0.1,0.5238003617193212,0.5,0.5,0.7,0.3,False
IMDB,789,0.5,0.5999935352490545,0.9,0.2,0.2,0.5,False
IMDB,789,0.9,0.6551676094407446,0.7,0.2,0.2,0.2,False
MNIST,42,0.1,0.5153484491086185,0.9,0.9,0.9,0.9,True
MNIST,42,0.5,0.5918403200086488,0.5,0.5,0.5,0.5,True
MNIST,42,0.9,0.6474783197357518,0.5,auto,auto,0.5,False
MNIST,456,0.1,0.5153484491086185,0.9,0.5,0.5,0.5,False
MNIST,456,0.5,0.5918403200086488,auto,auto,auto,auto,True
MNIST,456,0.9,0.6474783197357518,0.7,auto,auto,auto,False
MNIST,789,0.1,0.5153484491086185,0.7,0.7,0.7,0.7,True
MNIST,789,0.5,0.5918403200086488,0.7,0.7,0.7,0.7,True
MNIST,789,0.9,0.6474783197357518,0.7,auto,auto,0.7,False
Mushrooms,42,0.1,0.5059311981020166,0.7,0.9,0.9,0.9,False
Mushrooms,42,0.5,0.5827175954915467,0.9,0.3,0.3,0.3,False
Mushrooms,42,0.9,0.6388075880758808,0.9,auto,auto,auto,False
Mushrooms,456,0.1,0.5059311981020166,0.7,0.9,0.9,0.3,False
Mushrooms,456,0.5,0.5827175954915467,auto,auto,auto,0.3,False
Mushrooms,456,0.9,0.6388075880758808,0.5,0.5,0.5,0.5,True
Mushrooms,789,0.1,0.5059311981020166,0.9,0.9,0.3,0.9,False
Mushrooms,789,0.5,0.5827175954915467,0.9,0.9,0.9,0.9,True
Mushrooms,789,0.9,0.6388075880758808,0.7,0.9,0.9,0.9,False
Spambase,42,0.1,0.41679873217115687,0.5,0.9,0.5,0.5,False
Spambase,42,0.5,0.4935779816513762,0.7,0.9,0.7,0.7,False
Spambase,42,0.9,0.5524929063640048,0.5,0.5,0.5,0.5,True
Spambase,456,0.1,0.41679873217115687,0.9,0.9,0.9,0.9,True
Spambase,456,0.5,0.4935779816513762,0.7,0.3,0.7,0.9,False
Spambase,456,0.9,0.5524929063640048,0.7,0.7,0.7,0.7,True
Spambase,789,0.1,0.41679873217115687,0.5,0.9,0.9,0.9,False
Spambase,789,0.5,0.4935779816513762,0.7,0.2,0.5,0.5,False
Spambase,789,0.9,0.5524929063640048,0.5,0.3,auto,0.5,False
