dataset,seed,c,method_prior,true_prior,prior_error,test_ap,test_auc,test_max_f1,test_anice,test_snice,test_ece,test_mce,test_brier,convergence_epoch,test_ap_norm,test_auc_norm,test_max_f1_norm,test_anice_norm,test_snice_norm,test_ece_norm,test_mce_norm,test_brier_norm,convergence_epoch_norm,performance_score,calibration_score,convergence_score,overall_score
Spambase,42,0.9,1.0,0.5524929063640048,0.44750709363599517,0.9391046857835624,0.9570682385931653,0.8906882591093116,1.0198478959683706,0.9232141384540267,0.1401329174896664,0.634403645992279,0.10329778115443496,4,0.9070486901771778,0.9459086800006214,0.6784416546049635,0.2912687408869782,0.10663415751783738,0.7524959881640277,0.3543784536379938,0.8171159587865072,0.9230769230769231,0.8437996749275877,0.4643786597986689,0.9230769230769231,0.7437517526010599
Spambase,42,0.9,auto,0.5524929063640048,0.0,0.9283384592618885,0.9550095283233113,0.8928571428571428,0.39869655319093344,0.1907162232374104,0.04636811236896421,0.3113564219739702,0.07722882570281636,3,0.8906149978657805,0.9433148345038712,0.684821780505659,0.09234398171275937,0.020494155740447162,0.9187034437503232,0.7203384848182841,0.8632895323154227,0.9487179487179487,0.839583870958437,0.5230339196674473,0.9487179487179487,0.7704452464479443
IMDB,42,0.5,1.0,0.5999935352490545,0.4000064647509455,0.8755973210341794,0.8725126783999999,0.8064312502320746,0.813711792981615,0.6540426238382275,0.16914025031238797,0.37340378475189206,0.18150581239458366,26,0.8101103163004987,0.8393739906643698,0.430585896918397,0.22525330822221307,0.07498023159427894,0.7010776017491775,0.6500489013499051,0.6785931749442219,0.3589743589743589,0.6933567346277552,0.4659906435719593,0.3589743589743589,0.5061072457246912
IMDB,42,0.5,0.3,0.5999935352490545,0.29999353524905453,0.8651275047097198,0.865477488,0.7924941588785047,1.1364842681741356,1.189270867482826,0.2109246419149637,0.4379412302604089,0.2146453646420096,1,0.7941290679321276,0.8305100931043138,0.3895876656327477,0.3286217346811166,0.1379217921108314,0.62701060611531,0.5769384586201618,0.6198960953757019,1.0,0.671408942223063,0.4580777373806243,1.0,0.709828893201229
20News,42,0.1,1.0,0.5880662609871535,0.41193373901284647,0.9447282206120812,0.9298957188625973,0.8787068263751598,0.7697991640941761,0.5574876793023772,0.1156229446993263,0.3347016402309941,0.12403080210644264,15,0.915632518586162,0.9116730136368,0.6431963126676461,0.21119021518102082,0.06362560119717486,0.7959423560067134,0.693892144574336,0.7803934414926801,0.641025641025641,0.8235006149635361,0.509008751690385,0.641025641025641,0.657845002559854
20News,42,0.1,0.5,0.5880662609871535,0.08806626098715353,0.9523969912333544,0.9375665669292197,0.8845392054060351,0.5222534862928905,0.2328053464193379,0.0971095595326803,0.19385284127540958,0.10762511306261378,4,0.9273382184934582,0.9213377998892511,0.6603532084924085,0.1319132967394493,0.025443735896764564,0.8287591750559956,0.8534509552532688,0.8094513487327157,0.9230769230769231,0.8363430756250393,0.5298037023356388,0.9230769230769231,0.7630745670125337
IMDB,42,0.9,1.0,0.6551676094407446,0.3448323905592554,0.8821432498256749,0.8820180543999999,0.8103610556831444,0.8679542947488884,0.843705343414195,0.1751876116171479,0.4506728421193993,0.1879242098260153,27,0.8201020974909831,0.8513501667652776,0.44214606171198545,0.242624560376019,0.0972841135057341,0.690358051549278,0.5625156104218829,0.6672248504139956,0.33333333333333337,0.7045327753227487,0.45200143725338193,0.33333333333333337,0.4966225153031547
IMDB,42,0.9,0.3,0.6551676094407446,0.3551676094407446,0.874033511239901,0.875479968,0.8010272443054935,1.5428314413851263,2.1483925959941033,0.25846625676319007,0.5272229313850403,0.24262112242084047,1,0.807723298997734,0.8431125889893591,0.4146891305683479,0.45875509833237055,0.2507122119637845,0.5427383588876269,0.4757967935689008,0.5703451760369765,1.0,0.6885083395184802,0.4596695277579319,1.0,0.7160592890921373
20News,42,0.5,1.0,0.6606558518415373,0.3393441481584627,0.9629373618423819,0.9536933333103854,0.9088814652689783,0.7532911990139918,0.565885083216956,0.08332380831668938,0.40310192108154297,0.09233093985996968,16,0.9434271617353771,0.9416565115445336,0.7319599429650709,0.20590351168079393,0.06461311580042581,0.8531957920788324,0.6164057368552317,0.8365405288974856,0.6153846153846154,0.8723478720816606,0.515331737062554,0.6153846153846154,0.6676880748429433
20News,42,0.5,0.1,0.6606558518415373,0.5606558518415373,0.9537211461514338,0.9363978000965535,0.8936893203883495,3.061313268614063,7.28142066401161,0.47975924609756204,0.8315963395088317,0.4392852952153754,2,0.9293594238296577,0.9198652271673609,0.6872697666764889,0.9450514499449847,0.8543440281330708,0.150474495607539,0.1309911625472241,0.2220117853921284,0.9743589743589743,0.8454981392245026,0.4605745843249894,0.9743589743589743,0.7601438993028221
20News,42,0.9,1.0,0.7114781270348665,0.28852187296513354,0.9657890552926502,0.9604777816693645,0.9179121637157968,0.7761673907585326,0.6081355255699556,0.08098904976440251,0.4640737631741692,0.08819261679263377,15,0.9477800195016329,0.9502044898985353,0.7585252178994841,0.21322965044958117,0.06958166670518387,0.8573343841431407,0.5473345436228991,0.8438703647549549,0.641025641025641,0.8855032424332174,0.506270121935152,0.641025641025641,0.6775996684646701
20News,42,0.9,0.1,0.7114781270348665,0.6114781270348665,0.9563350179160685,0.9459706372611874,0.8997039668442867,3.0721023624397317,7.429342345209966,0.47897898368794617,0.8542073024342759,0.4391886139222871,2,0.9333492678325662,0.9319264000940257,0.7049628319112776,0.9485066753355996,0.8717392638281414,0.1518575884388519,0.10537661432642598,0.2221830281871675,0.9743589743589743,0.8567461666126232,0.45993263402323725,0.9743589743589743,0.7636792583316115
IMDB,42,0.1,1.0,0.5238003617193212,0.4761996382806788,0.8499808902363013,0.8526979808,0.7797337913267497,0.7981347856496824,0.6710368516838535,0.17940739711344242,0.4117102477510097,0.20436249225579137,9,0.7710091009395683,0.8144087175553592,0.35205095966556293,0.22026474550204844,0.07697871211745518,0.6828780614873755,0.6066539010177889,0.6381092134691628,0.7948717948717949,0.6458229260534968,0.4449769267187662,0.7948717948717949,0.6285572158813527
IMDB,42,0.1,0.7,0.5238003617193212,0.17619963828067875,0.8510257269452175,0.8541367776,0.7831294873182523,0.3641335823010565,0.14426632323945704,0.08284713508188724,0.1850626443262985,0.16637016926922502,2,0.7726039517403958,0.8162215110577121,0.3620399542199909,0.0812751323243458,0.015031758667002857,0.8540407428618109,0.8634088205757557,0.7054015651788517,0.9743589743589743,0.6502884723393662,0.5038316039215534,0.9743589743589743,0.709493016873298
MNIST,42,0.1,1.0,0.5153484491086185,0.48465155089138146,0.9955896228856714,0.9961189899035484,0.9748255990294207,0.29114811943784585,0.09087174909128451,0.01352485867380165,0.18422966625760584,0.02086344998271078,20,0.9932679495152554,0.9951101713004824,0.9259453865023912,0.0579014154482556,0.008752684533847917,0.9769213819502814,0.864352449424193,0.9631244039169103,0.5128205128205128,0.9714411691060431,0.5742104670546977,0.5128205128205128,0.6861573829937512
