dataset,seed,c,true_prior,optimal_prior,prior_diff,direction,best_f1,baseline_f1,improvement
20News,42,0.1,0.5880662609871535,0.9,0.3119337390128465,higher,0.8765869838728125,0.8672433245581046,0.00934365931470793
20News,42,0.5,0.6606558518415373,0.9,0.23934414815846272,higher,0.904570047196961,0.891093960553718,0.013476086643242957
20News,42,0.9,0.7114781270348665,0.5,-0.21147812703486646,lower,0.9168707007112044,0.9107423189055842,0.006128381805620142
20News,456,0.1,0.5880662609871535,0.9,0.3119337390128465,higher,0.6926493247530137,0.6530170292351609,0.039632295517852745
20News,456,0.5,0.6606558518415373,0.1,-0.5606558518415373,lower,0.7218734091294756,0.6030335861321777,0.1188398229972979
20News,456,0.9,0.7114781270348665,0.9,0.18852187296513356,higher,0.7219959266802444,0.6237386871944243,0.0982572394858201
20News,789,0.1,0.5880662609871535,0.9,0.3119337390128465,higher,0.6921055016767879,0.6186927826272088,0.07341271904957902
20News,789,0.5,0.6606558518415373,0.1,-0.5606558518415373,lower,0.7218734091294756,0.6976203256396493,0.024253083489826355
20News,789,0.9,0.7114781270348665,0.1,-0.6114781270348665,lower,0.7218734091294756,0.6316446478726724,0.09022876125680324
FashionMNIST,42,0.1,0.5238095238095238,,0.0,auto,0.9818508177104108,0.9818508177104108,0.0
FashionMNIST,42,0.5,0.6,0.5,-0.09999999999999998,lower,0.9874025194961008,0.9864891714683092,0.0009133480277916384
FashionMNIST,42,0.9,0.6551724137931034,0.5,-0.15517241379310343,lower,0.990126658023337,0.9898264512268105,0.0003002067965265365
FashionMNIST,456,0.1,0.5238095238095238,0.9,0.3761904761904762,higher,0.9837891596220786,0.9783697176046464,0.005419442017432163
FashionMNIST,456,0.5,0.6,,0.0,auto,0.9879590008956116,0.9879590008956116,0.0
FashionMNIST,456,0.9,0.6551724137931034,0.7,0.04482758620689653,higher,0.9902156549520766,0.9879613968759328,0.002254258076143878
FashionMNIST,789,0.1,0.5238095238095238,,0.0,auto,0.9823300389338124,0.9823300389338124,0.0
FashionMNIST,789,0.5,0.6,,0.0,auto,0.9873190214677984,0.9873190214677984,0.0
FashionMNIST,789,0.9,0.6551724137931034,0.5,-0.15517241379310343,lower,0.987874536526706,0.985677342351303,0.0021971941754029833
IMDB,42,0.1,0.5238003617193212,0.7,0.17619963828067875,higher,0.782529638519165,0.7739775173403493,0.008552121178815764
IMDB,42,0.5,0.5999935352490545,0.7,0.10000646475094543,higher,0.8046124763705104,0.8019817190260389,0.0026307573444714905
IMDB,42,0.9,0.6551676094407446,0.7,0.044832390559255364,higher,0.8109256222984051,0.8107529348782073,0.00017268742019782568
IMDB,456,0.1,0.5238003617193212,0.7,0.17619963828067875,higher,0.7946678450434527,0.7913553113553113,0.003312533688141328
IMDB,456,0.5,0.5999935352490545,,0.0,auto,0.805421780332453,0.805421780332453,0.0
IMDB,456,0.9,0.6551676094407446,0.7,0.044832390559255364,higher,0.8113038277511961,0.8108461538461539,0.00045767390504225514
IMDB,789,0.1,0.5238003617193212,0.5,-0.023800361719321206,lower,0.7883956556600336,0.7853816346119663,0.0030140210480672502
IMDB,789,0.5,0.5999935352490545,0.9,0.3000064647509455,higher,0.802858439201452,0.780407895814563,0.0224505433868889
IMDB,789,0.9,0.6551676094407446,0.7,0.044832390559255364,higher,0.8105041701104516,0.8100200856482359,0.0004840844622157059
MNIST,42,0.1,0.5153484491086185,0.9,0.3846515508913815,higher,0.9730107956817272,0.9708757432228156,0.002135052458911657
MNIST,42,0.5,0.5918403200086488,0.5,-0.09184032000864883,lower,0.9847828277738588,0.9786155873112394,0.0061672404626194055
MNIST,42,0.9,0.6474783197357518,0.5,-0.14747831973575176,lower,0.9890997174000808,0.9835966589513938,0.005503058448687037
MNIST,456,0.1,0.5153484491086185,0.9,0.3846515508913815,higher,0.9751898734177216,0.9737299396913012,0.0014599337264203927
MNIST,456,0.5,0.5918403200086488,,0.0,auto,0.9826961770623742,0.9826961770623742,0.0
MNIST,456,0.9,0.6474783197357518,0.7,0.052521680264248194,higher,0.9856536674075572,0.9854339469957516,0.00021972041180562396
MNIST,789,0.1,0.5153484491086185,0.7,0.1846515508913814,higher,0.9747306956609282,0.9704201343627796,0.004310561298148552
MNIST,789,0.5,0.5918403200086488,0.7,0.10815967999135112,higher,0.9868889114747432,0.9855749695245836,0.0013139419501596583
MNIST,789,0.9,0.6474783197357518,0.7,0.052521680264248194,higher,0.989774222942189,0.9887844801454988,0.000989742796690174
Mushrooms,42,0.1,0.5059311981020166,0.7,0.19406880189798337,higher,0.9910141206675224,0.986425339366516,0.004588781301006373
Mushrooms,42,0.5,0.5827175954915467,0.9,0.31728240450845335,higher,0.9993618379068284,0.9961538461538462,0.0032079917529822533
Mushrooms,42,0.9,0.6388075880758808,0.9,0.26119241192411924,higher,1.0,0.9993618379068284,0.0006381620931715792
Mushrooms,456,0.1,0.5059311981020166,0.7,0.19406880189798337,higher,0.9891788669637174,0.985209003215434,0.003969863748283342
Mushrooms,456,0.5,0.5827175954915467,,0.0,auto,0.9987228607918264,0.9987228607918264,0.0
Mushrooms,456,0.9,0.6388075880758808,0.5,-0.13880758807588078,lower,0.9993610223642172,0.9936143039591316,0.00574671840508556
Mushrooms,789,0.1,0.5059311981020166,0.9,0.39406880189798343,higher,0.9980806142034548,0.9638395792241946,0.03424103497926023
Mushrooms,789,0.5,0.5827175954915467,0.9,0.31728240450845335,higher,0.9993618379068284,0.9968010236724248,0.0025608142344035745
Mushrooms,789,0.9,0.6388075880758808,0.7,0.06119241192411917,higher,0.9993618379068284,0.9911054637865312,0.008256374120297227
Spambase,42,0.1,0.4167987321711568,0.5,0.08320126782884318,higher,0.8555240793201133,0.0217983651226158,0.8337257141974975
Spambase,42,0.5,0.4935779816513762,0.7,0.20642201834862378,higher,0.89280868385346,0.8841544607190412,0.00865422313441877
Spambase,42,0.9,0.5524929063640048,0.5,-0.05249290636400483,lower,0.9041835357624832,0.8835978835978836,0.02058565216459962
