dataset,seed,c,true_prior,optimal_prior,prior_diff,direction,best_test_ap,baseline_test_ap,improvement,best_auc,best_max_f1,best_f1
20News,42,0.1,0.5880662609871535,0.5,-0.08806626098715353,lower,0.9523969912333544,0.9506054700394604,0.00179152119389403,0.9375665669292197,0.8845392054060351,0.8683747802059784
20News,42,0.5,0.6606558518415373,0.2,-0.4606558518415373,lower,0.9654261102781903,0.9563718407168041,0.009054269561386108,0.9572350955336726,0.9076163610719323,0.515625
20News,42,0.9,0.7114781270348665,0.3,-0.41147812703486647,lower,0.9749624604338427,0.9669475407065772,0.008014919727265535,0.9692598833155057,0.9230056732661803,0.6859072766349401
20News,456,0.1,0.5880662609871535,0.2,-0.3880662609871535,lower,0.5668831534954533,0.565703356401712,0.001179797093741275,0.4938063174507832,0.7218734091294756,0.30243055555555554
20News,456,0.5,0.6606558518415373,0.1,-0.5606558518415373,lower,0.5647902283590016,0.5560834839630038,0.008706744395997834,0.5,0.7218734091294756,0.7218734091294756
20News,456,0.9,0.7114781270348665,0.2,-0.5114781270348665,lower,0.5661123472874671,0.5575110583240599,0.008601288963407172,0.5024366400441976,0.7218734091294756,0.7218734091294756
20News,789,0.1,0.5880662609871535,auto,0.0,auto,0.5647517500707215,0.5647517500707215,0.0,0.5005184798257564,0.7219959266802444,0.6186927826272088
20News,789,0.5,0.6606558518415373,0.1,-0.5606558518415373,lower,0.5647902283590016,0.5619429812313967,0.0028472471276048683,0.5,0.7218734091294756,0.7218734091294756
20News,789,0.9,0.7114781270348665,0.9,0.18852187296513356,higher,0.5674976047525963,0.5592951639150712,0.008202440837525082,0.5050736442146974,0.7218734091294756,0.6977037370553805
FashionMNIST,42,0.1,0.5238095238095238,0.5,-0.023809523809523836,lower,0.9963149778970873,0.9959626334337046,0.0003523444633827255,0.99707368,0.9827243844320891,0.9816
FashionMNIST,42,0.5,0.6,0.9,0.30000000000000004,higher,0.9973767598327027,0.9964995424111964,0.00087721742150626,0.9978933200000001,0.9866427432216907,0.9858092686315372
FashionMNIST,42,0.9,0.6551724137931034,auto,0.0,auto,0.9979068383495809,0.9979068383495809,0.0,0.9984270800000001,0.9901345291479821,0.9898264512268103
FashionMNIST,456,0.1,0.5238095238095238,0.9,0.3761904761904762,higher,0.9960258947719416,0.9947340672963796,0.0012918274755620018,0.9968471199999999,0.9839848801352828,0.9837891596220786
FashionMNIST,456,0.5,0.6,auto,0.0,auto,0.9980407827605198,0.9980407827605198,0.0,0.99828868,0.9881296758104738,0.9879590008956115
FashionMNIST,456,0.9,0.6551724137931034,0.7,0.04482758620689653,higher,0.998722322985926,0.9979663544143387,0.0007559685715873288,0.9988589200000001,0.9908366533864542,0.9902156549520766
FashionMNIST,789,0.1,0.5238095238095238,0.9,0.3761904761904762,higher,0.9956656301385275,0.9955437280487263,0.00012190208980122907,0.9961814800000001,0.9809145129224652,0.9797344514325647
FashionMNIST,789,0.5,0.6,auto,0.0,auto,0.9976009796189435,0.9976009796189435,0.0,0.99795824,0.9874201277955272,0.9873190214677983
FashionMNIST,789,0.9,0.6551724137931034,auto,0.0,auto,0.997376796159767,0.997376796159767,0.0,0.99776124,0.9860055977608957,0.985677342351303
