dataset,seed,c,true_prior,optimal_prior,prior_diff,direction,best_test_auc,baseline_test_auc,improvement,best_auc,best_max_f1,best_f1
20News,42,0.1,0.5880662609871535,0.7,0.11193373901284642,higher,0.9384220227855748,0.9370777042774658,0.0013443185081090103,0.9384220227855748,0.8858131487889274,0.8762278978388998
20News,42,0.5,0.6606558518415373,0.2,-0.4606558518415373,lower,0.9572350955336726,0.9433449277756885,0.013890167757984129,0.9572350955336726,0.9076163610719323,0.515625
20News,42,0.9,0.7114781270348665,0.3,-0.41147812703486647,lower,0.9692598833155057,0.9617494556320391,0.007510427683466658,0.9692598833155057,0.9230056732661803,0.6859072766349401
20News,456,0.1,0.5880662609871535,0.3,-0.28806626098715354,lower,0.49397225967993946,0.49312501488029925,0.0008472447996402122,0.49397225967993946,0.7218734091294756,0.39146453791832975
20News,456,0.5,0.6606558518415373,0.1,-0.5606558518415373,lower,0.5,0.49245948901267383,0.0075405109873261655,0.5,0.7218734091294756,0.7218734091294756
20News,456,0.9,0.7114781270348665,0.2,-0.5114781270348665,lower,0.5024366400441976,0.49515232119760666,0.007284318846590976,0.5024366400441976,0.7218734091294756,0.7218734091294756
20News,789,0.1,0.5880662609871535,auto,0.0,auto,0.5005184798257564,0.5005184798257564,0.0,0.5005184798257564,0.7219959266802444,0.6186927826272088
20News,789,0.5,0.6606558518415373,0.1,-0.5606558518415373,lower,0.5,0.49280291914898744,0.0071970808510125606,0.5,0.7218734091294756,0.7218734091294756
20News,789,0.9,0.7114781270348665,0.9,0.18852187296513356,higher,0.5050736442146974,0.4955468821936386,0.009526762021058732,0.5050736442146974,0.7218734091294756,0.6977037370553805
FashionMNIST,42,0.1,0.5238095238095238,0.5,-0.023809523809523836,lower,0.99707368,0.9968177600000001,0.00025591999999985404,0.99707368,0.9827243844320891,0.9816
FashionMNIST,42,0.5,0.6,0.9,0.30000000000000004,higher,0.9978933200000001,0.9975329999999999,0.0003603200000001916,0.9978933200000001,0.9866427432216907,0.9858092686315372
FashionMNIST,42,0.9,0.6551724137931034,auto,0.0,auto,0.9984270800000001,0.9984270800000001,0.0,0.9984270800000001,0.9901345291479821,0.9898264512268103
FashionMNIST,456,0.1,0.5238095238095238,0.9,0.3761904761904762,higher,0.9968471199999999,0.9957839599999999,0.001063159999999952,0.9968471199999999,0.9839848801352828,0.9837891596220786
FashionMNIST,456,0.5,0.6,auto,0.0,auto,0.99828868,0.99828868,0.0,0.99828868,0.9881296758104738,0.9879590008956115
FashionMNIST,456,0.9,0.6551724137931034,0.7,0.04482758620689653,higher,0.9988589200000001,0.99827244,0.0005864800000000558,0.9988589200000001,0.9908366533864542,0.9902156549520766
FashionMNIST,789,0.1,0.5238095238095238,auto,0.0,auto,0.9963224800000001,0.9963224800000001,0.0,0.9963224800000001,0.9824316230784588,0.9823300389338125
FashionMNIST,789,0.5,0.6,auto,0.0,auto,0.99795824,0.99795824,0.0,0.99795824,0.9874201277955272,0.9873190214677983
FashionMNIST,789,0.9,0.6551724137931034,0.5,-0.15517241379310343,lower,0.99781624,0.99776124,5.500000000002725e-05,0.99781624,0.9889387144992526,0.9878745365267061
IMDB,42,0.1,0.5238003617193212,0.2,-0.3238003617193212,lower,0.8552061056,0.8550213536,0.00018475200000001024,0.8552061056,0.7822009021264409,0.5213714285714286
IMDB,42,0.5,0.5999935352490545,0.1,-0.49999353524905454,lower,0.8871300799999998,0.8758188447999999,0.01131123519999988,0.8871300799999998,0.8113897793701679,0.3257333333333333
IMDB,42,0.9,0.6551676094407446,0.1,-0.5551676094407446,lower,0.8933268992000001,0.8892298208,0.004097078400000065,0.8933268992000001,0.8168331819557977,0.3257333333333333
IMDB,456,0.1,0.5238003617193212,0.7,0.17619963828067875,higher,0.8681813791999999,0.8632548928,0.00492648639999993,0.8681813791999999,0.7959622949602911,0.7946678450434527
IMDB,456,0.5,0.5999935352490545,0.1,-0.49999353524905454,lower,0.8844505728000001,0.8813182463999999,0.0031323264000001627,0.8844505728000001,0.810108412344653,0.324
IMDB,456,0.9,0.6551676094407446,auto,0.0,auto,0.889534528,0.889534528,0.0,0.889534528,0.8134660333257935,0.8108461538461539
IMDB,789,0.1,0.5238003617193212,0.7,0.17619963828067875,higher,0.8618095712,0.8616223935999998,0.000187177600000199,0.8618095712,0.7896397387922811,0.7872740830167241
IMDB,789,0.5,0.5999935352490545,0.2,-0.3999935352490545,lower,0.8842974144,0.8651513056,0.019146108800000006,0.8842974144,0.8081818181818181,0.5393142857142857
IMDB,789,0.9,0.6551676094407446,0.2,-0.4551676094407446,lower,0.8931979456000001,0.8843375807999999,0.008860364800000187,0.8931979456000001,0.8159310265898599,0.5425142857142857
MNIST,42,0.1,0.5153484491086185,0.9,0.3846515508913815,higher,0.9965142364783584,0.9958003201021152,0.0007139163762431844,0.9965142364783584,0.97479501973884,0.9730107956817273
