dataset,seed,c,true_prior,optimal_prior,prior_diff,direction,best_test_max_f1,baseline_test_max_f1,improvement,best_auc,best_max_f1,best_f1
20News,42,0.1,0.5880662609871535,0.3,-0.28806626098715354,lower,0.8884624610218277,0.8830863326276169,0.005376128394210755,0.9284856401884828,0.8884624610218277,0.7605714285714286
20News,42,0.5,0.6606558518415373,0.2,-0.4606558518415373,lower,0.9076163610719323,0.8977861516721619,0.009830209399770418,0.9572350955336726,0.9076163610719323,0.515625
20News,42,0.9,0.7114781270348665,0.3,-0.41147812703486647,lower,0.9230056732661803,0.9153511782200868,0.007654495046093501,0.9692598833155057,0.9230056732661803,0.6859072766349401
20News,456,0.1,0.5880662609871535,0.9,0.3119337390128465,higher,0.7219959266802444,0.7219959266802444,0.0,0.49373718680734896,0.7219959266802444,0.6926493247530137
20News,456,0.5,0.6606558518415373,0.5,-0.1606558518415373,lower,0.7220100161276632,0.7219346627068307,7.535342083253571e-05,0.4921382896849335,0.7220100161276632,0.6031746031746031
20News,456,0.9,0.7114781270348665,0.9,0.18852187296513356,higher,0.7219959266802444,0.7219346627068307,6.126397341366108e-05,0.49710726981862247,0.7219959266802444,0.7219959266802444
20News,789,0.1,0.5880662609871535,auto,0.0,auto,0.7219959266802444,0.7219959266802444,0.0,0.5005184798257564,0.7219959266802444,0.6186927826272088
20News,789,0.5,0.6606558518415373,0.7,0.039344148158462655,higher,0.7218874649919377,0.7218734091294756,1.4055862462059032e-05,0.4921928985905094,0.7218874649919377,0.6197774511862272
20News,789,0.9,0.7114781270348665,0.7,-0.011478127034866503,lower,0.7219346627068307,0.7219346627068307,0.0,0.495628526630931,0.7219346627068307,0.6264301459011231
FashionMNIST,42,0.1,0.5238095238095238,0.9,0.3761904761904762,higher,0.9840859359458921,0.9827312425565702,0.001354693389321926,0.9969522,0.9840859359458921,0.9817247851427442
FashionMNIST,42,0.5,0.6,auto,0.0,auto,0.987937394078357,0.987937394078357,0.0,0.9975329999999999,0.987937394078357,0.9864891714683092
FashionMNIST,42,0.9,0.6551724137931034,0.5,-0.15517241379310343,lower,0.990322258804749,0.9901345291479821,0.00018772965676694398,0.99842436,0.990322258804749,0.990126658023337
FashionMNIST,456,0.1,0.5238095238095238,0.9,0.3761904761904762,higher,0.9839848801352828,0.9797297297297297,0.004255150405553132,0.9968471199999999,0.9839848801352828,0.9837891596220786
FashionMNIST,456,0.5,0.6,0.5,-0.09999999999999998,lower,0.9885034489653104,0.9881296758104738,0.00037377315483655416,0.9977191999999999,0.9885034489653104,0.9861362266425557
FashionMNIST,456,0.9,0.6551724137931034,0.7,0.04482758620689653,higher,0.9908366533864542,0.9888423988842399,0.0019942545022143543,0.9988589200000001,0.9908366533864542,0.9902156549520766
FashionMNIST,789,0.1,0.5238095238095238,auto,0.0,auto,0.9824316230784588,0.9824316230784588,0.0,0.9963224800000001,0.9824316230784588,0.9823300389338125
FashionMNIST,789,0.5,0.6,0.5,-0.09999999999999998,lower,0.9878461844989043,0.9874201277955272,0.0004260567033770313,0.99726568,0.9878461844989043,0.9872051179528188
FashionMNIST,789,0.9,0.6551724137931034,0.5,-0.15517241379310343,lower,0.9889387144992526,0.9860055977608957,0.0029331167383569445,0.99781624,0.9889387144992526,0.9878745365267061
IMDB,42,0.1,0.5238003617193212,auto,0.0,auto,0.7835420393559929,0.7835420393559929,0.0,0.8550213536,0.7835420393559929,0.7739775173403493
IMDB,42,0.5,0.5999935352490545,0.1,-0.49999353524905454,lower,0.8113897793701679,0.8042234282127959,0.007166351157371964,0.8871300799999998,0.8113897793701679,0.3257333333333333
IMDB,42,0.9,0.6551676094407446,0.1,-0.5551676094407446,lower,0.8168331819557977,0.813463306970756,0.00336987498504171,0.8933268992000001,0.8168331819557977,0.3257333333333333
IMDB,456,0.1,0.5238003617193212,0.7,0.17619963828067875,higher,0.7959622949602911,0.7915046584990096,0.0044576364612815,0.8681813791999999,0.7959622949602911,0.7946678450434527
IMDB,456,0.5,0.5999935352490545,0.1,-0.49999353524905454,lower,0.810108412344653,0.808132530120482,0.0019758822241709995,0.8844505728000001,0.810108412344653,0.324
IMDB,456,0.9,0.6551676094407446,auto,0.0,auto,0.8134660333257935,0.8134660333257935,0.0,0.889534528,0.8134660333257935,0.8108461538461539
IMDB,789,0.1,0.5238003617193212,0.3,-0.22380036171932122,lower,0.7899999999999999,0.7895590620852382,0.00044093791476174093,0.8616083904,0.7899999999999999,0.6766660152433066
IMDB,789,0.5,0.5999935352490545,0.5,-0.09999353524905452,lower,0.8091191554673755,0.7920349032330238,0.017084252234351616,0.8805802944,0.8091191554673755,0.7975823560020814
IMDB,789,0.9,0.6551676094407446,0.2,-0.4551676094407446,lower,0.8159310265898599,0.810692441289738,0.00523858530012189,0.8931979456000001,0.8159310265898599,0.5425142857142857
MNIST,42,0.1,0.5153484491086185,0.9,0.3846515508913815,higher,0.97479501973884,0.9720132410472464,0.0027817786915935727,0.9965142364783584,0.97479501973884,0.9730107956817273
