dataset,seed,c,method,true_prior,method_prior,prior_error,experiment,train_error,train_risk,train_accuracy,train_precision,train_recall,train_f1,train_auc,train_ap,train_max_f1,train_anice,train_snice,train_ece,train_mce,train_brier,test_error,test_risk,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_ap,test_max_f1,test_anice,test_snice,test_ece,test_mce,test_brier,val_error,val_risk,val_accuracy,val_precision,val_recall,val_f1,val_auc,val_ap,val_max_f1,val_anice,val_snice,val_ece,val_mce,val_brier
Spambase,42,0.9,vpu_nomixup,0.5524929063640048,,0.0,Spambase_case-control_random_c0.9_seed42_methodprior_auto,0.0683015808674503,0.1665920418769085,0.9316984191325497,0.9592464436755094,0.9152604548789435,0.9367373756335649,0.9743673708358588,0.9655631812590317,0.9456462461370659,0.5003374554379679,0.2686798352876587,0.0914182562930687,0.26113078559654346,0.0650966181744292,0.07383279044516833,-0.17576593529517953,0.9261672095548317,0.9085872576177285,0.9035812672176309,0.9060773480662984,0.9705609368365966,0.9520507953896629,0.909344490934449,0.2754078869348897,0.0814634178783577,0.05716693158646748,0.17597148418426511,0.06421202273376682,0.027027027027026973,-0.22398360999854836,0.972972972972973,0.9375,1.0,0.967741935483871,0.9545454545454546,0.8412847337847339,0.967741935483871,0.7149293646320674,0.6302266526443856,0.1450580978715742,0.485025554895401,0.05844585245039849
Spambase,42,0.9,vpu_nomixup_mean,0.5524929063640048,,0.0,Spambase_case-control_random_c0.9_seed42_methodprior_auto,0.09302796919335221,0.2044832873644015,0.9069720308066478,0.8978588978588978,0.9383712399119589,0.9176681614349775,0.9534748915435899,0.9490582461122921,0.9246954595791806,0.7283785268172143,0.5011263676960068,0.0810065990382595,0.34281183937762644,0.08012987777997606,0.11509229098805651,-0.19016314329464196,0.8849077090119435,0.8037825059101655,0.9366391184573003,0.8651399491094147,0.9570682385931653,0.9391046857835624,0.8906882591093116,1.0198478959683706,0.9232141384540267,0.1401329174896664,0.634403645992279,0.10329778115443496,0.08108108108108103,-0.22398360999854836,0.918918918918919,0.8333333333333334,1.0,0.9090909090909091,0.9606060606060606,0.9098304854187207,0.9375,1.1636543277599036,1.3158716073625543,0.16266016883624568,0.5751180648803711,0.08466898859669326
Spambase,42,0.9,vpu_nomixup_mean_prior,0.5524929063640048,,0.0,Spambase_case-control_random_c0.9_seed42_methodprior_auto,0.08188082691528176,0.18413967829171973,0.9181191730847182,0.9306379821958457,0.9203961848862803,0.9254887495389156,0.9559942435697044,0.9423025837307478,0.9275150629906884,0.2568736744176361,0.07529485182862548,0.04130722987410822,0.12725009520848593,0.0697110463109694,0.09554831704668842,-0.18296453618847974,0.9044516829533116,0.8498727735368957,0.9201101928374655,0.8835978835978836,0.9550095283233113,0.9283384592618885,0.8928571428571428,0.39869655319093344,0.1907162232374104,0.04636811236896421,0.3113564219739702,0.07722882570281636,0.05405405405405406,-0.22398360999854836,0.9459459459459459,0.8823529411764706,1.0,0.9375,0.9515151515151515,0.8376082631964985,0.9375,0.5128261788922686,0.33517029080805577,0.14175899523134167,0.6419717073440552,0.06374235211666722
IMDB,42,0.5,vpu_nomixup,0.5999935352490545,0.3,0.29999353524905453,IMDB_case-control_random_c0.5_seed42_methodprior0.3,0.12043831011410289,0.33380418274318385,0.8795616898858971,0.9122485272868734,0.8843335847430234,0.8980741875478717,0.9345590328454244,0.9484834886716673,0.9040660736975857,0.5515681907916224,0.3285569147286285,0.2030966068693048,0.3316352515918992,0.14922139743637375,0.2118,-0.07495200269699097,0.7882,0.8121479941079629,0.74984,0.779751258267127,0.869114336,0.8597931940302663,0.802111792069704,0.6636510344124855,0.3717731880799911,0.16113695551857354,0.2751255362103674,0.17775408721964964,0.19599999999999995,-0.08280000305175782,0.804,0.8220338983050848,0.776,0.7983539094650206,0.879232,0.8704370887196891,0.8286852589641432,0.5970837553269575,0.3415726501367934,0.16569200699031353,0.27844598293304446,0.1674845772580809
IMDB,42,0.5,vpu_nomixup_mean,0.5999935352490545,0.3,0.29999353524905453,IMDB_case-control_random_c0.5_seed42_methodprior0.3,0.11924233118919092,0.3801370518322455,0.8807576688108091,0.8771618400365168,0.9317422691520311,0.9036286214373416,0.9174745602779218,0.9337222854993912,0.9040688575899842,0.40473033907735323,0.16187503502694614,0.09923102540994265,0.18689603098664842,0.11078112780154972,0.20043999999999995,-0.09691200386047363,0.79956,0.7861236341407504,0.82304,0.8041583616680346,0.8725126783999999,0.8755973210341794,0.8064312502320746,0.813711792981615,0.6540426238382275,0.16914025031238797,0.37340378475189206,0.18150581239458366,0.19199999999999995,-0.10920000457763672,0.808,0.7769784172661871,0.864,0.8181818181818182,0.87424,0.8738770405843543,0.8181818181818182,0.6264168988514399,0.45906855425717175,0.1759636027216911,0.4325045347213745,0.18212261106192143
IMDB,42,0.5,vpu_nomixup_mean_prior,0.5999935352490545,0.3,0.29999353524905453,IMDB_case-control_random_c0.5_seed42_methodprior0.3,0.44926786695542553,0.13556259577101,0.5507321330445745,0.9718680429062942,0.2587005710591531,0.4086286856996979,0.8719177596458062,0.9080725127733666,0.8388065780764727,1.1676720691394677,1.143881117774268,0.28375686026740427,0.43800802455733623,0.24304000741142986,0.37924,0.07387200319290162,0.62076,0.953984962406015,0.25376,0.4008846761453397,0.865477488,0.8651275047097198,0.7924941588785047,1.1364842681741356,1.189270867482826,0.2109246419149637,0.4379412302604089,0.2146453646420096,0.4,0.08040000152587891,0.6,0.8787878787878788,0.232,0.3670886075949367,0.8339839999999998,0.8347343065089233,0.7935222672064778,0.9431145461482091,0.8568597117363669,0.20194485402107237,0.4544740915298462,0.222053533076771
20News,42,0.1,vpu_nomixup,0.5880662609871535,0.5,0.08806626098715353,20News_case-control_random_c0.1_seed42_methodprior0.5,0.1835699797160243,0.3788032454361055,0.8164300202839757,0.9641194724592708,0.7144294337453291,0.8207033184744923,0.9326869240532591,0.9531339429250341,0.8932736741729627,0.9678990042788532,0.8326493798962918,0.2144974377998066,0.3897832969006997,0.1598805969854871,0.18919277748274033,-0.10780669144981413,0.8108072225172597,0.9639225975729747,0.6908791725434885,0.8048747090236889,0.9292830808056904,0.9497652992276738,0.8864760525998311,0.9632531947950886,0.8503531207055038,0.20539013637240683,0.40798546563195914,0.15941906314604676,0.10526315789473684,-0.19298245614035087,0.8947368421052632,0.9642857142857143,0.84375,0.9,0.97,0.9778222590168149,0.9365079365079365,0.8647745601492837,0.7612529997349644,0.23491950355993027,0.7071027159690857,0.12347413698559168
20News,42,0.1,vpu_nomixup_mean,0.5880662609871535,0.5,0.08806626098715353,20News_case-control_random_c0.1_seed42_methodprior0.5,0.11384381338742389,0.4640804597701149,0.8861561866125761,0.9359751359751359,0.8656223052601322,0.8994250727992235,0.941971631654043,0.9532573136179369,0.9090253748558247,0.8244185849178256,0.6990211851084301,0.09420627765697531,0.5162916627584719,0.10115355753775217,0.13807753584705262,-0.19131704726500265,0.8619224641529474,0.9097399286078531,0.8387400094029149,0.87279843444227,0.9298957188625973,0.9447282206120812,0.8787068263751598,0.7697991640941761,0.5574876793023772,0.1156229446993263,0.3347016402309941,0.12403080210644264,0.052631578947368474,-0.2543859649122807,0.9473684210526315,0.953125,0.953125,0.953125,0.9578125,0.9509345224503336,0.9612403100775193,2.208760991027126,4.933400276740599,0.05354068594935695,0.9076939299702644,0.05188622611546732
20News,42,0.1,vpu_nomixup_mean_prior,0.5880662609871535,0.5,0.08806626098715353,20News_case-control_random_c0.1_seed42_methodprior0.5,0.13404327248140635,0.4445571331981068,0.8659567275185936,0.9423583662714098,0.8223627479160678,0.8782808902532617,0.9471407405686243,0.959856921711956,0.9016637168141592,0.608257874590047,0.3269303525247255,0.10435190496234534,0.25812780450146844,0.10216704566882875,0.13913967073818378,-0.17657992565055763,0.8608603292618162,0.9323085221143473,0.812646920545369,0.8683747802059784,0.9375665669292197,0.9523969912333544,0.8845392054060351,0.5222534862928905,0.2328053464193379,0.0971095595326803,0.19385284127540958,0.10762511306261378,0.07017543859649122,-0.24561403508771928,0.9298245614035088,0.9375,0.9375,0.9375,0.9574999999999999,0.9628301288701412,0.9448818897637795,0.47647037759233385,0.3003026571732098,0.09104435505312784,0.42632490396499634,0.07352941508917599
IMDB,42,0.9,vpu_nomixup,0.6551676094407446,0.3,0.3551676094407446,IMDB_case-control_random_c0.9_seed42_methodprior0.3,0.3708863934015103,0.09310056940877508,0.6291136065984897,0.9738064276425785,0.44589996597482134,0.6117043001341969,0.9508799564202763,0.9658861174079142,0.9403479872336045,1.3683429424192401,1.7031937306422364,0.3812150341517087,0.5839325438391778,0.27106691899500873,0.25471999999999995,0.15000000595092775,0.74528,0.9088,0.54528,0.6816,0.8872009599999999,0.8872331133372817,0.8113660218923378,1.578010446180143,2.2424713132326,0.27147159478995947,0.5802809385692372,0.24428476155588708,0.24,0.15,0.76,0.9333333333333333,0.56,0.7,0.890496,0.8899864233319938,0.8156862745098038,1.5708642077669939,2.2141138875465853,0.2652818046361208,0.5814098119735718,0.24389875099711977
